Project,Package,Class,Method,Smell,Description,Method start line no,File,Status,Reason/Commit
main,com.asdc.unicarpool.component,TokenExtractor,extractBannerIdFromToken,Magic Number,The method contains a magic number: 7,21,D:\Personal\group04\unicarpool-backend\src\main\java\com\asdc\unicarpool\component\TokenExtractor.java,True Positive,Commit Hash: fa25c14918ba0fa3cb01673f33859a35eca9fbed
main,com.asdc.unicarpool.config,JwtAuthenticationFilter,doFilterInternal,Magic Number,The method contains a magic number: 7,32,D:\Personal\group04\unicarpool-backend\src\main\java\com\asdc\unicarpool\config\JwtAuthenticationFilter.java,True Positive,Commit Hash: fa25c14918ba0fa3cb01673f33859a35eca9fbed
main,com.asdc.unicarpool.service.impl,AuthService,AuthService,Long Parameter List,The method has 5 parameters. ,36,D:\Personal\group04\unicarpool-backend\src\main\java\com\asdc\unicarpool\service\impl\AuthService.java,False Positive,This is the constructor and we are using constructor dependency injection.
main,com.asdc.unicarpool.service.impl,RatingReviewService,submitReview,Magic Number,The method contains a magic number: 5,24,D:\Personal\group04\unicarpool-backend\src\main\java\com\asdc\unicarpool\service\impl\RatingReviewService.java,True Positive,Commit Hash: fa25c14918ba0fa3cb01673f33859a35eca9fbed
main,com.asdc.unicarpool.service.impl,RideRequestService,RideRequestService,Long Parameter List,The method has 6 parameters. ,46,D:\Personal\group04\unicarpool-backend\src\main\java\com\asdc\unicarpool\service\impl\RideRequestService.java,False Positive,This is the constructor and we are using constructor dependency injection.
main,com.asdc.unicarpool.service.impl,RideService,RideService,Long Parameter List,The method has 6 parameters. ,41,D:\Personal\group04\unicarpool-backend\src\main\java\com\asdc\unicarpool\service\impl\RideService.java,False Positive,This is the constructor and we are using constructor dependency injection.
main,com.asdc.unicarpool.service.impl,VerificationService,sendVerificationCode,Magic Number,The method contains a magic number: 60,40,D:\Personal\group04\unicarpool-backend\src\main\java\com\asdc\unicarpool\service\impl\VerificationService.java,True Positive,Commit Hash: fa25c14918ba0fa3cb01673f33859a35eca9fbed
main,com.asdc.unicarpool.service.impl,VerificationService,generateVerificationCode,Magic Number,The method contains a magic number: 10,98,D:\Personal\group04\unicarpool-backend\src\main\java\com\asdc\unicarpool\service\impl\VerificationService.java,True Positive,Commit Hash: fa25c14918ba0fa3cb01673f33859a35eca9fbed
main,com.asdc.unicarpool.service.impl,VerificationService,generateVerificationCode,Magic Number,The method contains a magic number: 10,98,D:\Personal\group04\unicarpool-backend\src\main\java\com\asdc\unicarpool\service\impl\VerificationService.java,True Positive,Commit Hash: fa25c14918ba0fa3cb01673f33859a35eca9fbed
main,com.asdc.unicarpool.util.TokenUtil,JwtUtil,createToken,Magic Number,The method contains a magic number: 1000,30,D:\Personal\group04\unicarpool-backend\src\main\java\com\asdc\unicarpool\util\TokenUtil\JwtUtil.java,True Positive,Commit Hash: fa25c14918ba0fa3cb01673f33859a35eca9fbed
