Project,Package,Class,Method,Smell,Description,File
unicarpool-backend,com.asdc.unicarpool.service.service,AuthServiceTest,authenticateUser_success,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,D:\Personal\group04\unicarpool-backend\src\test\java\com\asdc\unicarpool\service\service\AuthServiceTest.java
unicarpool-backend,com.asdc.unicarpool.service.service,AuthServiceTest,resetPassword_sucess,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,D:\Personal\group04\unicarpool-backend\src\test\java\com\asdc\unicarpool\service\service\AuthServiceTest.java
unicarpool-backend,com.asdc.unicarpool.service.service,AuthServiceTest,verifyEmailVerificationCode_success,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,D:\Personal\group04\unicarpool-backend\src\test\java\com\asdc\unicarpool\service\service\AuthServiceTest.java
unicarpool-backend,com.asdc.unicarpool.service.service,AuthServiceTest,recoveryPassword_success,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,D:\Personal\group04\unicarpool-backend\src\test\java\com\asdc\unicarpool\service\service\AuthServiceTest.java
unicarpool-backend,com.asdc.unicarpool.service.service,RatingReviewServiceTest,submitReview_sucess,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4,D:\Personal\group04\unicarpool-backend\src\test\java\com\asdc\unicarpool\service\service\RatingReviewServiceTest.java
unicarpool-backend,com.asdc.unicarpool.service.service,RatingReviewServiceTest,submitReview_rideNotFound,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,D:\Personal\group04\unicarpool-backend\src\test\java\com\asdc\unicarpool\service\service\RatingReviewServiceTest.java
unicarpool-backend,com.asdc.unicarpool.service.service,RatingReviewServiceTest,submitReview_rideNotCompleted,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,D:\Personal\group04\unicarpool-backend\src\test\java\com\asdc\unicarpool\service\service\RatingReviewServiceTest.java
unicarpool-backend,com.asdc.unicarpool.service.service,RatingReviewServiceTest,submitReview_invalidRating,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,D:\Personal\group04\unicarpool-backend\src\test\java\com\asdc\unicarpool\service\service\RatingReviewServiceTest.java
unicarpool-backend,com.asdc.unicarpool.service.service,RideRequestTest,createRideRequest_Success,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6,D:\Personal\group04\unicarpool-backend\src\test\java\com\asdc\unicarpool\service\service\RideRequestTest.java
unicarpool-backend,com.asdc.unicarpool.service.service,RideRequestTest,getPendingRideRequestsByDriver_Success,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6,D:\Personal\group04\unicarpool-backend\src\test\java\com\asdc\unicarpool\service\service\RideRequestTest.java
